referring_domain,domain_rating,backlinks_count,first_seen,source_file
vocal.media,82,2,2025-09-30 14:31:17,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
cncelectric.pk [broken-target],82,134,2025-09-30 14:31:17,cncelectric.pk-bbl-external-subdomains_2026-04-02_03-45-18.csv
intersystems.com,76,1,2026-02-03 02:07:43,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv
ideas.intersystems.com,76,1,2026-02-03 02:07:43,cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
viesearch.com,73,5,2025-12-09 09:29:39,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
bunity.com,71,1,2026-01-02 09:17:49,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
wp-search.org,70,1,2026-01-23 16:17:28,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
trueen.com,69,2,2026-01-07 16:59:49,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
atoallinks.com,65,5,2025-10-09 17:06:30,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
colibris-wiki.org,61,1,2026-01-25 09:13:37,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
bly.com,61,1,2026-01-01 18:58:13,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
weboworld.com,59,2,2026-03-10 13:58:54,cncelectric.pk-refdomains-subdomains_2026-04-02_16-57-03.csv; cncelectric.pk-backlinks-subdomains_2026-04-02_17-13-11.csv
