keyword,volume,difficulty,cnc_position,assigned_page_url,page_type,keyword_in_title,keyword_in_meta,status
fire extinguisher,5500,46,3.52,/collections/fire-extinguisher,collection,YES,NO,PARTIAL
spd full form,3800,0,8.49,/blogs/news/spd-vs-no-spd-real-cost-of-voltage-surges-on-your-solar-and-home-wiring,collection,NO,NO,RANKING (no keyword match)
thermostat,1500,49,6.37,/collections/thermostat,collection,YES,NO,PARTIAL
spd,1400,2,7.00,/collections/spd,collection,YES,NO,PARTIAL
breaker,1200,12,2.90,/collections/circuit-breakers,collection,YES,NO,PARTIAL
circuit breaker,1200,33,3.32,/collections/circuit-breakers,collection,YES,NO,PARTIAL
voltage protector,900,0,3.28,/collections/voltage-protectors,collection,YES,NO,PARTIAL
spd full form in electrical,900,3,8.89,/blogs/news/spd-vs-no-spd-real-cost-of-voltage-surges-on-your-solar-and-home-wiring,collection,NO,NO,RANKING (no keyword match)
change over switch,800,0,5.60,/collections/changeover-switch-ep,collection,NO,NO,RANKING (no keyword match)
mccb breaker,700,0,5.23,/collections/dc-mccb-breaker,collection,YES,NO,PARTIAL
breaker switch,700,1,9.15,/collections/changeovers,collection,NO,NO,RANKING (no keyword match)
mcb breaker,700,1,4.16,/collections/circuit-breakers,collection,NO,NO,RANKING (no keyword match)
magnetic contactor,600,0,4.80,/collections/magnetic-contactors,collection,YES,NO,PARTIAL
spd stands for,600,3,2.49,/blogs/news/spd-vs-no-spd-real-cost-of-voltage-surges-on-your-solar-and-home-wiring,collection,NO,NO,RANKING (no keyword match)
selector switch,500,0,5.72,/collections/selector-switch,collection,YES,NO,PARTIAL
contactor,500,12,8.58,/collections/magnetic-contactors,collection,YES,NO,PARTIAL
changeover switch,450,0,6.56,/collections/changeover-switch-ep,collection,YES,NO,PARTIAL
voltage regulator,450,0,8.42,/collections/voltage-regulator,collection,YES,NO,PARTIAL
db box,400,0,2.86,/collections/db-boxes,collection,YES,NO,PARTIAL
timer switch,400,0,8.59,/collections/timer-ah2n,collection,YES,NO,PARTIAL
rccb breaker,400,0,5.77,/collections/rccb,collection,NO,NO,RANKING (no keyword match)
breaker price in pakistan,350,0,7.32,/,unknown,NO,NO,RANKING (page not in catalog)
voltage protector price in pakistan,350,0,7.41,/collections/voltage-protectors,collection,YES,NO,PARTIAL
distribution box,300,0,3.64,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
industrial socket,300,0,6.86,/collections/industrial-plug-socket,collection,NO,NO,RANKING (no keyword match)
voltage protection device,300,0,5.45,/collections/voltage-protectors,collection,NO,NO,RANKING (no keyword match)
wifi switch,300,0,32.83,/collections/wifi-smart-circuit-breakers,collection,NO,NO,RANKING (no keyword match)
cnc breaker,250,2,2.30,/,unknown,NO,NO,RANKING (page not in catalog)
dc breaker,250,0,3.04,/collections/dc-breaker,collection,YES,NO,PARTIAL
electric breaker,250,11,3.71,/collections/circuit-breakers,collection,NO,NO,RANKING (no keyword match)
circuit breaker price in pakistan,250,0,7.13,/collections/circuit-breakers,collection,YES,NO,PARTIAL
acb breaker,250,0,2.99,/collections/acb-breakers,collection,YES,NO,PARTIAL
breaker box,250,0,21.18,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
rcbo breaker,250,0,2.54,/collections/rccb,collection,NO,NO,RANKING (no keyword match)
db pakistan,250,30,42.60,/collections/db-boxes,collection,NO,NO,RANKING (no keyword match)
electric shop,250,36,39.60,/,unknown,NO,NO,RANKING (page not in catalog)
ac breaker,200,0,4.00,/collections/ac-breaker,collection,YES,NO,PARTIAL
changeover,200,0,7.26,/collections/changeover-switch-ep,collection,YES,NO,PARTIAL
spd pakistan,200,2,4.44,/collections/spd,collection,NO,NO,RANKING (no keyword match)
automatic transfer switch,200,0,6.27,/collections/ats,collection,YES,NO,PARTIAL
breakers,200,6,6.48,/collections/circuit-breakers,collection,YES,NO,PARTIAL
